,EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name
0,ILD980397079,"A & F MATERIAL RECLAIMING, INC.",GREENUP,Cumberland,IL,WEST CUMBERLAND,62428,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,09/24/1992,,,,Active,"Recycling, Recycling, Recycling","Chemicals/chemical waste (e.g., solvent recovery), Multiple, Waste/used oil",,No,,,No,"A & F MATERIAL RECLAIMING, INC, A & F MATERIAL RECLAIMING, INC., A & F MATERIALS, A & F MATERIALS, A & F MATERIALS / GREEN UP, A & F MATERIALS RECLAIMING INC, A & F MATERIALS RECLAIMING, INC., A & F MATERIALS RECLAIMING, INC., A & F MATERIALS/GREENUP, A & F MATERIALS/GREENUP",[Blank Date],www.epa.gov/superfund/af-material-reclaiming,
1,ILD053219259,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",MORRISTOWN,Winnebago,IL,EAST OF LINDENWOOD RD,61109,R05,Final NPL,No,No,No,Yes,Yes,Yes,07/13/1998,,,,Active,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",,No,,31.98,No,"ACME SOLVENT RECLAIMERS INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING(MORRISTOWN PLANT, ACME SOLVENT RECLAIMING(MORRISTOWN PLANT), ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT), MORRISTOWN PLANT",[Blank Date],www.epa.gov/superfund/acme-solvent-reclaiming,
2,ILN000509241,ACME STEEL COKE PLANT,CHICAGO,Cook,IL,11236 SOUTH TORRENCE AVE.,60617-6440,R05,Proposed NPL,No,No,No,Status Unavailable,Status Unavailable,No,,,,,Active,Manufacturing/Processing/Maintenance,Coke production,,No,,30.0,No,,09/07/2023,www.epa.gov/superfund/acme-steel-coke,
3,ILD980607055,ADAMS COUNTY QUINCY LANDFILLS 2&3,QUINCY,Adams,IL,2 MILES NORTH OF BURTON TWP 1/2 MI WEST,62301,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,Yes,03/31/1999,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,34.21,No,"ADAMS COUNTY QUINCY LANDFILL SITE #2 & #3, ADAMS COUNTY QUINCY LANDFILL SITE 2 & 3, ADAMS COUNTY QUINCY LANDFILL SITE 2&3, ADAMS COUNTY QUINCY LANDFILLS 2&3, ADAMS COUNTY QUINCY LANDFILLS 2&3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, QUINCY MUNI LDFL 2, QUINCY MUNI LDFL 2 AND 3 OF, QUINCY MUNI LDFL 2 AND 3 OF",[Blank Date],www.epa.gov/superfund/adams-county-landfills,
4,ILSFN0508010,ALCOA PROPERTIES,EAST ST. LOUIS,St. clair,IL,3000 E. MISSOURI AVENUE,62205,R05,Not NPL,No,Yes,No,No,Insufficient Data,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Manufacturing/Processing/Maintenance,Primary metals/mineral processing,,No,,,No,NORTH ALCOA,12/31/2002,www.epa.gov/superfund/alcoa-properties,
5,ILD002994259,AMOCO CHEMICALS (JOLIET LANDFILL),JOLIET,Will,IL,approx. or near 23423 Amoco Rd.,60410,R05,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,"Manufacturing/Processing/Maintenance, Multiple, Recycling, Waste Management","Chemicals and allied products, Co-disposal landfill (municipal and industrial), Multiple, Multiple",,No,,39.44,No,"AMOCO CHEMICAL (JOLIET LANDFILL), AMOCO CHEMICAL (JOLIET LANDFILL), AMOCO CHEMICAL CORP, AMOCO CHEMICALS (JOLIET LANDFILL), AMOCO CHEMICALS (JOLIET), AMOCO CHEMICALS (JOLIET LANDFILL), JOLIET LANDFILL",04/01/1979,www.epa.gov/superfund/amoco-chemicals-landfill,
6,ILN000508170,ASARCO TAYLOR SPRINGS,TAYLOR SPRINGS,Montgomery,IL,PUBLIC ROAD AND BROADWAY STREET,62089,R05,Final NPL,No,No,No,No,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,30.0,No,"ASARCO, ASARCO TAYLOR SPRINGS",05/23/2000,www.epa.gov/superfund/asarco-taylor-springs,
7,ILN000510407,BAUTSCH-GRAY MINE,GALENA,Jo daviess,IL,1000 SOUTH BLACKJACK ROAD,61036,R05,Final NPL,No,No,No,No,Insufficient Data,No,,,,,Active,Mining,Metals,,No,,48.97,No,"BAUTSCH-GRAY MINE, BAUTSCH-GREY MINE",05/15/2000,www.epa.gov/superfund/bautsch-gray-mine,
8,ILD021440375,BELOIT CORP.,ROCKTON,Winnebago,IL,1165 PRAIRIE HILL RD,61072,R05,Final NPL,Yes,No,No,Insufficient Data,Insufficient Data,Yes,09/29/2008,,,,Active,Manufacturing/Processing/Maintenance,Lumber and wood products/pulp and paper,,No,,,No,"BELOIT CORP, BELOIT CORP, BELOIT CORP.",[Blank Date],www.epa.gov/superfund/beloit-corp,
9,ILD980497663,BELVIDERE MUNICIPAL LANDFILL,BELVIDERE,Boone,IL,APPLETON RD,61008,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,06/10/1992,,,,Active,Waste Management,Municipal solid waste landfill,,No,,,No,"BELVIDERE LDFL, BELVIDERE MUNICIPAL LANDFILL, BELVIDERE MUNICIPAL LANDFILL #1, BELVIDERE MUNICIPAL LDFL #1",[Blank Date],www.epa.gov/superfund/belvidere-municipal-landfill,
