,FIPS,NAMELSAD,Superfund Sites
0,17001,Adams County,1
1,17003,Alexander County,1
2,17005,Bond County,0
3,17007,Boone County,3
4,17009,Brown County,0
5,17011,Bureau County,1
6,17013,Calhoun County,0
7,17015,Carroll County,0
8,17017,Cass County,0
9,17019,Champaign County,0
10,17021,Christian County,1
11,17023,Clark County,1
12,17025,Clay County,0
13,17027,Clinton County,1
14,17029,Coles County,0
15,17031,Cook County,12
16,17033,Crawford County,0
17,17035,Cumberland County,1
18,17037,DeKalb County,0
19,17039,De Witt County,0
20,17041,Douglas County,0
21,17043,DuPage County,0
22,17045,Edgar County,0
23,17047,Edwards County,0
24,17049,Effingham County,0
25,17051,Fayette County,0
26,17053,Ford County,0
27,17055,Franklin County,0
28,17057,Fulton County,0
29,17059,Gallatin County,0
30,17061,Greene County,0
31,17063,Grundy County,0
32,17065,Hamilton County,0
33,17067,Hancock County,0
34,17069,Hardin County,0
35,17071,Henderson County,0
36,17073,Henry County,0
37,17075,Iroquois County,0
38,17077,Jackson County,0
39,17079,Jasper County,0
40,17081,Jefferson County,0
41,17083,Jersey County,0
42,17085,Jo Daviess County,0
43,17087,Johnson County,0
44,17089,Kane County,1
45,17091,Kankakee County,1
46,17093,Kendall County,0
47,17095,Knox County,1
48,17097,Lake County,8
49,17099,LaSalle County,0
50,17101,Lawrence County,1
51,17103,Lee County,0
52,17105,Livingston County,0
53,17107,Logan County,0
54,17109,McDonough County,0
55,17111,McHenry County,0
56,17113,McLean County,0
57,17115,Macon County,0
58,17117,Macoupin County,0
59,17119,Madison County,3
60,17121,Marion County,1
61,17123,Marshall County,0
62,17125,Mason County,0
63,17127,Massac County,0
64,17129,Menard County,0
65,17131,Mercer County,0
66,17133,Monroe County,0
67,17135,Montgomery County,2
68,17137,Morgan County,0
69,17139,Moultrie County,0
70,17141,Ogle County,1
71,17143,Peoria County,0
72,17145,Perry County,0
73,17147,Piatt County,0
74,17149,Pike County,0
75,17151,Pope County,0
76,17153,Pulaski County,0
77,17155,Putnam County,0
78,17157,Randolph County,0
79,17159,Richland County,0
80,17161,Rock Island County,0
81,17163,St. Clair County,0
82,17165,Saline County,0
83,17167,Sangamon County,0
84,17169,Schuyler County,0
85,17171,Scott County,0
86,17173,Shelby County,0
87,17175,Stark County,0
88,17177,Stephenson County,0
89,17179,Tazewell County,0
90,17181,Union County,0
91,17183,Vermilion County,1
92,17185,Wabash County,0
93,17187,Warren County,0
94,17189,Washington County,0
95,17191,Wayne County,0
96,17193,White County,0
97,17195,Whiteside County,0
98,17197,Will County,3
99,17199,Williamson County,1
100,17201,Winnebago County,6
101,17203,Woodford County,0
